Ticker,Nome,Negócios,Última (R$),Variação,marketCap,marketCap_date
DEXP3,Dexxos,52.700,"12,11","+1,51%",1133483904.0,17/02/2024
OFSA3,Ourofino Saúde Animal,8.600,"20,75","-2,12%",1115677696.0,17/02/2024
ROMI3,Indústrias ROMI,212.000,"12,42","+0,98%",1102076288.0,17/02/2024
ZAMP3,Zamp,3.204.400,"4,08","-14,29%",1088433792.0,17/02/2024
BMOB3,Bemobi,167.900,"12,60","+2,27%",1087367424.0,17/02/2024
OPCT3,OceanPact,739.500,"5,43","+0,93%",1076019584.0,17/02/2024
CRPG3,Tronox Pigmentos,300,"37,30","-9,00%",1063049984.0,17/02/2024
CRPG5,Tronox Pigmentos,900,"36,16","+0,19%",1063049728.0,17/02/2024
CRPG6,Tronox Pigmentos,100,"36,49","+0,91%",1063048640.0,17/02/2024
PCAR3,Grupo Pão de Açúcar,2.397.800,"3,90","+1,83%",1052918144.0,17/02/2024
AALR3,Alliança,92.400,"8,68","+3,21%",1025698304.0,17/02/2024
POSI3,Positivo,600.300,"7,17","-0,69%",1004990208.0,17/02/2024
WIZC3,Wiz Soluções,315.900,"6,26","+1,62%",1001017920.0,17/02/2024
AVLL3,Alphaville,500,"5,10","+2,41%",996182976.0,17/02/2024
BRIV4,Alfa Investimento,200,"11,19","+1,73%",991210176.0,17/02/2024
BRIV3,Alfa Investimento,8.900,"11,20","+0,36%",991210048.0,17/02/2024
ALPK3,Estapar,105.500,"4,50","+2,04%",972040448.0,17/02/2024
WLMM4,WLM,3.000,"28,44","-1,93%",962056960.0,17/02/2024
WLMM3,WLM,200,"24,00","+0,00%",962056832.0,17/02/2024
EMAE3,EMAE,100,"26,01","+33,25%",961883648.0,17/02/2024
AERI3,Aeris Energy,2.584.200,"0,76","+0,00%",930589632.0,17/02/2024
MDNE3,Moura Dubeux,252.300,"10,98","+1,86%",916584000.0,17/02/2024
PINE3,PINE,400,"4,49","+10,59%",914352512.0,17/02/2024
PINE4,PINE,363.000,"4,43","+5,98%",914351936.0,17/02/2024
LJQQ3,Lojas Quero-Quero,1.852.600,"4,77","+1,49%",906152064.0,17/02/2024
